# Sitemap is a group-independent directive, so it sits above the first
# User-agent block rather than inside one.  RFC 9309 requires an absolute URL
# here; note that the dev deployment serves this same file, so dev advertises
# production's sitemap.  That is harmless -- dev is noindex by header and has
# nothing of its own to submit -- but it is deliberate, not an oversight.
#
# The sitemap lists the CMS pages only.  Project and sample pages are
# deliberately absent: a reaggregation mints a new /project/<linkid> rather
# than updating the old one, so project URLs are not stable identities, and the
# ~19,400 sample pages are the most expensive thing the site renders.  Both are
# already reachable by link-following from the home page, so leaving them out
# costs no discoverability.  See caper/caper/sitemaps.py.
Sitemap: https://ampliconrepository.org/sitemap.xml

User-agent: *
Disallow: /accounts/
Disallow: /admin-*
# Pages stay crawlable for search visibility; bulk data pulls do not.
# Prefix-matched, so this also covers .../download/png/..., .../download/pdf/...
# and .../download_metadata.
Disallow: /*/download

# /api/ holds internal endpoints the site's own pages call
# (background-task-status, username-autocomplete).  Nothing outside the site has
# any use for them.
Disallow: /api/

# ...but /api/v1/ is the public, documented, read-only REST API, and it is the
# path we would rather a program take.  Answering a question through it costs
# one request and a few KB; answering the same question by crawling project and
# sample pages costs hundreds of renders.  This line used to be absent, which
# meant a well-behaved agent was told "scrape the HTML, keep off the API" --
# precisely backwards.  Start at /llms.txt or /api/v1/openapi.json.
#
# Longest-match wins under RFC 9309, so this beats the Disallow above for
# /api/v1/ paths, and the explicit download rule below beats this in turn.
Allow: /api/v1/

# Archive downloads stay off-limits to crawlers whichever door they come to.
# /*/download already covers this by being the longer pattern, but depending on
# that arithmetic is fragile -- say it outright.  A person or an agent acting on
# someone's explicit request can still download; this governs bulk crawlers.
Disallow: /api/v1/projects/*/download/

# ---------------------------------------------------------------------------
# Policy
#
# AI assistants are WELCOME to read the pages.  When someone asks an assistant
# about ecDNA data or about a project hosted here, we want it to know this site
# and to be able to answer from it.  That means GPTBot, ClaudeBot, PerplexityBot,
# Google-Extended, Applebot-Extended, CCBot and the user-triggered fetchers
# (ChatGPT-User, Claude-User, Perplexity-User, OAI-SearchBot) are deliberately
# NOT listed below, and neither are the search indexers.  Anything absent from
# this file is governed by the "User-agent: *" block above, which is what we
# want: pages yes, bulk downloads and the API no.
#
# Do not "helpfully" give an allowed crawler its own Allow group.  A robots.txt
# agent obeys only the single most specific group that matches it, so a group of
# its own would silently release it from the /*/download and /api/ disallows
# above -- the opposite of the intent.
#
# What remains blocked is bots that take without giving anything back: SEO and
# data-resale crawlers that send no readers and feed no assistant, plus three
# with measured harm here.  Crawl *volume* is no longer what this file is for --
# caper/middleware.py caps concurrent sample-page rendering, so a well-behaved
# crawler that is merely enthusiastic now gets 503s instead of taking the site
# down.  That is what makes it safe to be generous above.
# ---------------------------------------------------------------------------

# --- SEO and data-resale crawlers: no readers, no assistant, no reason ---

User-agent: AhrefsBot
Disallow: /

User-agent: claritybot
Disallow: /

User-agent: DataForSeoBot
Disallow: /

User-agent: Diffbot
Disallow: /

User-agent: ImagesiftBot
Disallow: /

User-agent: MJ12bot
Disallow: /

User-Agent: omgili
Disallow: /

User-Agent: omgilibot
Disallow: /

User-agent: SemrushBot
Disallow: /

User-agent: Timpibot
Disallow: /

User-agent: Webzio-Extended
Disallow: /

# --- Measured harm on this site; revisit if that changes ---

# Heaviest observed download crawler: 410 file-download requests in a single
# 40-minute sample.
User-agent: Amazonbot
Disallow: /

# Large share of the dispersed swarm of Aug 2026, and widely reported to crawl
# far harder than it is asked to.
User-agent: Bytespider
Disallow: /

# Also prominent in the dispersed swarm; the search engine it feeds sends this
# audience essentially no readers.
User-agent: PetalBot
Disallow: /
